run_id,task_id,task_number,condition,version,include_in_analysis,replacement_of,results_dir,artifacts_dir,final_diff_path,ai_snapshot_diff_path,codeql_sarif,semgrep_json,semgrep_sarif,spotbugs_xml,gitleaks_sarif,gitleaks_output,depcheck_json,tests_txt,tests_xml,pr_number,scaffold_ref,ai_snapshot_ref,final_ref,notes,pr_number_metrics,task_id_metrics,condition_metrics,version_metrics,include_in_analysis_metrics,pr_title,additions,deletions,changed_files,baseline_found,baseline_pass,baseline_conclusion,baseline_run_id,baseline_run_attempts,baseline_queued_s,baseline_execution_s,baseline_duration_s,baseline_match_strategy,security_found,security_pass,security_conclusion,security_run_id,security_run_attempts,security_queued_s,security_execution_s,security_duration_s,security_match_strategy,notes_metrics,ai_share_computed,ai_share_status,ai_share,confirmed_vulnerabilities,confirmed_high_critical,gate_caught_count,gate_missed_count,gate_detection_rate,duration_overhead_s,baseline_would_merge,gate_blocked_pr,vulnerable_pr,vulnerable_pr_blocked_by_gate,vulnerable_pr_passed_gate
task-1-high-ai,T1,1,high-ai,1,True,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-high-ai,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-high-ai\artifacts,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-high-ai\final.diff,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-high-ai\artifacts\java.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-high-ai\artifacts\semgrep-results.json,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-high-ai\artifacts\semgrep-results.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-high-ai\artifacts\spotbugs.xml,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-high-ai\artifacts\gitleaks-results.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-high-ai\artifacts\gitleaks-output.txt,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-high-ai\artifacts\com.thesis.securitystudy.SecurityStudyApplicationTests.txt,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-high-ai\artifacts\TEST-com.thesis.securitystudy.SecurityStudyApplicationTests.xml,24,cd82e6be9a93a4af49dd6819948d465e6982a687,9585a7081d7ec4f4658b322a82b2c67c48cb1643,9585a7081d7ec4f4658b322a82b2c67c48cb1643,,24,T1,high-ai,1,True,Final: Task-1-High-AI,200,11,6,True,True,success,23857887833,1,0.0,64.0,64.0,head_sha,True,True,success,23857887826,1,0.0,1178.0,1178.0,head_sha,,1.0,ok,1.0,0,0,0,0,,1114.0,True,False,False,False,False
task-1-human-only-v2,T1,1,human-only,2,True,task-1-human-only,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2\artifacts,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2\final.diff,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2\artifacts\java.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2\artifacts\semgrep-results.json,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2\artifacts\semgrep-results.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2\artifacts\spotbugs.xml,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2\artifacts\gitleaks-results.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2\artifacts\gitleaks-output.txt,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2\artifacts\com.thesis.securitystudy.SecurityStudyApplicationTests.txt,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2\artifacts\TEST-com.thesis.securitystudy.SecurityStudyApplicationTests.xml,37,cd82e6be9a93a4af49dd6819948d465e6982a687,,3e276887f02ffed3b27db4cd96ae5c2aa0e8120a,,37,T1,human-only,2,True,Final: task-1-human-only-v2,291,27,6,True,True,success,23957627037,1,0.0,65.0,65.0,head_sha,True,False,failure,23957626983,1,0.0,240.0,240.0,head_sha,,0.0,ok,0.0,0,0,0,0,,175.0,True,True,False,False,False
task-1-low-ai,T1,1,low-ai,1,True,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai\artifacts,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai\final.diff,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai\artifacts\java.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai\artifacts\semgrep-results.json,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai\artifacts\semgrep-results.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai\artifacts\spotbugs.xml,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai\artifacts\gitleaks-results.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai\artifacts\gitleaks-output.txt,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai\artifacts\com.thesis.securitystudy.SecurityStudyApplicationTests.txt,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai\artifacts\TEST-com.thesis.securitystudy.SecurityStudyApplicationTests.xml,32,cd82e6be9a93a4af49dd6819948d465e6982a687,49a4246f46423080c2194a97666fd335dc6b04fc,d77291fc378c6d01b19546578b8af6f629323162,,32,T1,low-ai,1,True,Task 1 low ai,221,9,5,True,True,success,23954934609,1,0.0,64.0,64.0,head_sha,True,False,failure,23954934634,1,0.0,236.0,236.0,head_sha,,0.5118,ok,0.5118,0,0,0,0,,172.0,True,True,False,False,False
task-2-high-ai,T2,2,high-ai,1,True,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-high-ai,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-high-ai\artifacts,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-high-ai\final.diff,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-high-ai\artifacts\java.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-high-ai\artifacts\semgrep-results.json,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-high-ai\artifacts\semgrep-results.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-high-ai\artifacts\spotbugs.xml,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-high-ai\artifacts\gitleaks-results.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-high-ai\artifacts\gitleaks-output.txt,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-high-ai\artifacts\com.thesis.securitystudy.SecurityStudyApplicationTests.txt,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-high-ai\artifacts\TEST-com.thesis.securitystudy.SecurityStudyApplicationTests.xml,21,cd82e6be9a93a4af49dd6819948d465e6982a687,028db390b37f4fd1d39d8451eccadac4023c24f7,028db390b37f4fd1d39d8451eccadac4023c24f7,,21,T2,high-ai,1,True,Final Snapshot: task-2-high-ai,187,0,5,True,True,success,23816771093,1,0.0,73.0,73.0,head_sha,True,True,success,23816771083,1,0.0,247.0,247.0,head_sha,,1.0,ok,1.0,0,0,0,0,,174.0,True,False,False,False,False
task-2-human-only,T2,2,human-only,1,True,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-human-only,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-human-only\artifacts,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-human-only\final.diff,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-human-only\artifacts\java.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-human-only\artifacts\semgrep-results.json,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-human-only\artifacts\semgrep-results.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-human-only\artifacts\spotbugs.xml,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-human-only\artifacts\gitleaks-results.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-human-only\artifacts\gitleaks-output.txt,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-human-only\artifacts\com.thesis.securitystudy.SecurityStudyApplicationTests.txt,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-human-only\artifacts\TEST-com.thesis.securitystudy.SecurityStudyApplicationTests.xml,29,cd82e6be9a93a4af49dd6819948d465e6982a687,,b3c916d13b501bf7c6a39ee016848f5b541ab2d4,,29,T2,human-only,1,True,Final: task-2-human-only,154,0,3,True,True,success,23948433340,1,0.0,63.0,63.0,head_sha,True,True,success,23948433339,1,0.0,230.0,230.0,head_sha,,0.0,ok,0.0,0,0,0,0,,167.0,True,False,False,False,False
task-2-low-ai,T2,2,low-ai,1,True,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-low-ai,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-low-ai\artifacts,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-low-ai\final.diff,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-low-ai\artifacts\java.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-low-ai\artifacts\semgrep-results.json,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-low-ai\artifacts\semgrep-results.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-low-ai\artifacts\spotbugs.xml,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-low-ai\artifacts\gitleaks-results.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-low-ai\artifacts\gitleaks-output.txt,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-low-ai\artifacts\com.thesis.securitystudy.SecurityStudyApplicationTests.txt,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-low-ai\artifacts\TEST-com.thesis.securitystudy.SecurityStudyApplicationTests.xml,36,cd82e6be9a93a4af49dd6819948d465e6982a687,d7080c9769def4a065bbace7fbc5256a4be59a7d,854c25b1a45034d915d753bdb58ac7cdb98f274f,,36,T2,low-ai,1,True,Task 2 low ai,183,0,3,True,True,success,23957272456,1,0.0,74.0,74.0,head_sha,True,False,failure,23957272451,1,0.0,247.0,247.0,head_sha,,0.6392,ok,0.6392,0,0,0,0,,173.0,True,True,False,False,False
task-3-high-ai,T3,3,high-ai,1,True,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\final.diff,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\java.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\semgrep-results.json,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\semgrep-results.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\spotbugs.xml,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\gitleaks-results.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\gitleaks-output.txt,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\com.thesis.securitystudy.SecurityStudyApplicationTests.txt,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\TEST-com.thesis.securitystudy.SecurityStudyApplicationTests.xml,31,cd82e6be9a93a4af49dd6819948d465e6982a687,449f78915547568b5e4a86c61993a0973fa96196,449f78915547568b5e4a86c61993a0973fa96196,,31,T3,high-ai,1,True,AI Snapshot: Task-3-high-ai,325,0,3,True,True,success,23950992869,1,0.0,70.0,70.0,head_sha,True,False,failure,23950992858,1,0.0,246.0,246.0,head_sha,,1.0,ok,1.0,0,0,0,0,,176.0,True,True,False,False,False
task-3-human-only,T3,3,human-only,1,True,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\artifacts,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\final.diff,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\artifacts\java.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\artifacts\semgrep-results.json,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\artifacts\semgrep-results.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\artifacts\spotbugs.xml,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\artifacts\gitleaks-results.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\artifacts\gitleaks-output.txt,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\artifacts\com.thesis.securitystudy.SecurityStudyApplicationTests.txt,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\artifacts\TEST-com.thesis.securitystudy.SecurityStudyApplicationTests.xml,22,cd82e6be9a93a4af49dd6819948d465e6982a687,,a9ef7ba053bbe445b1144ad0a59170449f76f844,,22,T3,human-only,1,True,Final Snapshot: task-3-human-only,249,0,4,True,True,success,23851608539,1,0.0,78.0,78.0,head_sha,True,False,failure,23851608552,1,0.0,589.0,589.0,head_sha,,0.0,ok,0.0,0,0,0,0,,511.0,True,True,False,False,False
task-3-low-ai,T3,3,low-ai,1,True,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai\artifacts,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai\final.diff,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai\artifacts\java.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai\artifacts\semgrep-results.json,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai\artifacts\semgrep-results.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai\artifacts\spotbugs.xml,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai\artifacts\gitleaks-results.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai\artifacts\gitleaks-output.txt,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai\artifacts\com.thesis.securitystudy.SecurityStudyApplicationTests.txt,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai\artifacts\TEST-com.thesis.securitystudy.SecurityStudyApplicationTests.xml,26,cd82e6be9a93a4af49dd6819948d465e6982a687,3a62cd0d1780856e68ac8c9484c5bb5fe84427ab,d91c369a3080c094146d587f9032c1813a4b00a2,,26,T3,low-ai,1,True,Task 3 low ai,265,0,4,True,True,success,23910303097,1,0.0,65.0,65.0,head_sha,True,False,failure,23910303099,1,0.0,507.0,507.0,head_sha,,0.3311,ok,0.3311,0,0,0,0,,442.0,True,True,False,False,False
task-4-high-ai,T4,4,high-ai,1,True,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-4-high-ai,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-4-high-ai\artifacts,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-4-high-ai\final.diff,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-4-high-ai\artifacts\java.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-4-high-ai\artifacts\semgrep-results.json,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-4-high-ai\artifacts\semgrep-results.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-4-high-ai\artifacts\spotbugs.xml,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-4-high-ai\artifacts\gitleaks-results.sarif,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-4-high-ai\artifacts\gitleaks-output.txt,,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-4-high-ai\artifacts\com.thesis.securitystudy.SecurityStudyApplicationTests.txt,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-4-high-ai\artifacts\TEST-com.thesis.securitystudy.SecurityStudyApplicationTests.xml,28,cd82e6be9a93a4af49dd6819948d465e6982a687,b71cce99cb0f38184f07ab4d62f5798c94458a4b,b71cce99cb0f38184f07ab4d62f5798c94458a4b,,28,T4,high-ai,1,True,AI Snapshot: task-4-high-ai,182,0,4,True,True,success,23911584231,1,0.0,78.0,78.0,head_sha,True,True,success,23911584253,1,0.0,388.0,388.0,head_sha,,1.0,ok,1.0,0,0,0,0,,310.0,True,False,False,False,False
