run_id,condition,confirmed_vulnerabilities,gate_caught_count,gate_missed_count,gate_detection_rate
task-1-high-ai,high-ai,2,0,2,0.0
task-1-human-only-v2,human-only,0,0,0,0.0
task-1-low-ai,low-ai,0,0,0,0.0
task-2-high-ai,high-ai,1,0,1,0.0
task-2-human-only,human-only,1,0,1,0.0
task-2-low-ai,low-ai,1,0,1,0.0
task-3-high-ai,high-ai,1,1,0,1.0
task-3-human-only,human-only,1,0,1,0.0
task-3-low-ai,low-ai,1,0,1,0.0
task-4-high-ai,high-ai,0,0,0,0.0
task-4-human-only,human-only,0,0,0,0.0
task-4-low-ai,low-ai,0,0,0,0.0
task-5-high-ai,high-ai,1,0,1,0.0
task-5-human-only,human-only,1,0,1,0.0
task-5-low-ai,low-ai,2,0,2,0.0
task-6-high-ai,high-ai,1,0,1,0.0
task-6-human-only,human-only,0,0,0,0.0
task-6-low-ai,low-ai,0,0,0,0.0
