run_id,task_id,condition,version,include_in_analysis,ai_share,ai_lines,total_added_lines,method,status,note
task-1-high-ai,T1,high-ai,1,true,1.0000,114,114,git,ok,
task-1-human-only-v2,T1,human-only,2,true,0.0,0,158,git-human-only,ok,
task-1-low-ai,T1,low-ai,1,true,0.5118,65,127,git,ok,
task-2-high-ai,T2,high-ai,1,true,1.0000,103,103,git,ok,
task-2-human-only,T2,human-only,1,true,0.0,0,76,git-human-only,ok,
task-2-low-ai,T2,low-ai,1,true,0.6392,62,97,git,ok,
task-3-high-ai,T3,high-ai,1,true,1.0000,208,208,git,ok,
task-3-human-only,T3,human-only,1,true,0.0,0,144,git-human-only,ok,
task-3-low-ai,T3,low-ai,1,true,0.3311,49,148,git,ok,
task-4-high-ai,T4,high-ai,1,true,1.0000,112,112,git,ok,
task-4-human-only,T4,human-only,1,true,0.0,0,114,git-human-only,ok,
task-4-low-ai,T4,low-ai,1,true,0.4216,43,102,git,ok,
task-5-high-ai,T5,high-ai,1,true,1.0000,145,145,git,ok,
task-5-human-only,T5,human-only,1,true,0.0,0,150,git-human-only,ok,
task-5-low-ai,T5,low-ai,1,true,0.2788,46,165,git,ok,
task-6-high-ai,T6,high-ai,1,true,1.0000,137,137,git,ok,
task-6-human-only,T6,human-only,1,true,0.0,0,99,git-human-only,ok,
task-6-low-ai,T6,low-ai,1,true,0.5874,84,143,git,ok,
