run_id,pr_number,task_id,condition,version,include_in_analysis,pr_title,additions,deletions,changed_files,baseline_found,baseline_pass,baseline_conclusion,baseline_run_id,baseline_run_attempts,baseline_queued_s,baseline_execution_s,baseline_duration_s,baseline_match_strategy,security_found,security_pass,security_conclusion,security_run_id,security_run_attempts,security_queued_s,security_execution_s,security_duration_s,security_match_strategy,notes
task-1-high-ai,24,T1,high-ai,1,true,Final: Task-1-High-AI,200,11,6,true,true,success,23857887833,1,0.0,64.0,64.0,head_sha,true,true,success,23857887826,1,0.0,1178.0,1178.0,head_sha,
task-1-human-only-v2,37,T1,human-only,2,true,Final: task-1-human-only-v2,291,27,6,true,true,success,23957627037,1,0.0,65.0,65.0,head_sha,true,false,failure,23957626983,1,0.0,240.0,240.0,head_sha,
task-1-low-ai,32,T1,low-ai,1,true,Task 1 low ai,221,9,5,true,true,success,23954934609,1,0.0,64.0,64.0,head_sha,true,false,failure,23954934634,1,0.0,236.0,236.0,head_sha,
task-2-high-ai,21,T2,high-ai,1,true,Final Snapshot: task-2-high-ai,187,0,5,true,true,success,23816771093,1,0.0,73.0,73.0,head_sha,true,true,success,23816771083,1,0.0,247.0,247.0,head_sha,
task-2-human-only,29,T2,human-only,1,true,Final: task-2-human-only,154,0,3,true,true,success,23948433340,1,0.0,63.0,63.0,head_sha,true,true,success,23948433339,1,0.0,230.0,230.0,head_sha,
task-2-low-ai,36,T2,low-ai,1,true,Task 2 low ai,183,0,3,true,true,success,23957272456,1,0.0,74.0,74.0,head_sha,true,false,failure,23957272451,1,0.0,247.0,247.0,head_sha,
task-3-high-ai,31,T3,high-ai,1,true,AI Snapshot: Task-3-high-ai,325,0,3,true,true,success,23950992869,1,0.0,70.0,70.0,head_sha,true,false,failure,23950992858,1,0.0,246.0,246.0,head_sha,
task-3-human-only,22,T3,human-only,1,true,Final Snapshot: task-3-human-only,249,0,4,true,true,success,23851608539,1,0.0,78.0,78.0,head_sha,true,false,failure,23851608552,1,0.0,589.0,589.0,head_sha,
task-3-low-ai,26,T3,low-ai,1,true,Task 3 low ai,265,0,4,true,true,success,23910303097,1,0.0,65.0,65.0,head_sha,true,false,failure,23910303099,1,0.0,507.0,507.0,head_sha,
task-4-high-ai,28,T4,high-ai,1,true,AI Snapshot: task-4-high-ai,182,0,4,true,true,success,23911584231,1,0.0,78.0,78.0,head_sha,true,true,success,23911584253,1,0.0,388.0,388.0,head_sha,
task-4-human-only,33,T4,human-only,1,true,Final: task-4-human-only,208,1,4,true,true,success,23955332664,1,0.0,83.0,83.0,head_sha,true,false,failure,23955332643,1,0.0,238.0,238.0,head_sha,
task-4-low-ai,30,T4,low-ai,1,true,Task 4 low ai,184,1,4,true,true,success,23949539511,1,0.0,65.0,65.0,head_sha,true,false,failure,23949539535,1,0.0,241.0,241.0,head_sha,
task-5-high-ai,18,T5,high-ai,1,true,Final: task-5-high-ai,247,0,3,true,true,success,23765347008,1,0.0,67.0,67.0,head_sha,true,false,failure,23765347074,1,0.0,255.0,255.0,head_sha,
task-5-human-only,25,T5,human-only,1,true,Task 5 human only,287,0,3,true,true,success,23908058974,1,0.0,63.0,63.0,head_sha,true,false,failure,23908058947,1,0.0,276.0,276.0,head_sha,
task-5-low-ai,23,T5,low-ai,1,true,Task 5 low ai,286,0,3,true,true,success,23854643254,1,0.0,77.0,77.0,head_sha,true,false,failure,23854643168,1,0.0,3132.0,3132.0,head_sha,
task-6-high-ai,27,T6,high-ai,1,true,AI snapshot: Audit Logging,200,13,3,true,true,success,23910792685,1,0.0,64.0,64.0,head_sha,true,false,failure,23910792632,1,0.0,1069.0,1069.0,head_sha,
task-6-human-only,35,T6,human-only,1,true,Final: task-6-human-only,163,6,3,true,true,success,23956103670,1,0.0,67.0,67.0,head_sha,true,true,success,23956103662,1,0.0,240.0,240.0,head_sha,
task-6-low-ai,20,T6,low-ai,1,true,Task 6 low ai,205,13,4,true,true,success,23816037926,1,0.0,75.0,75.0,head_sha,true,false,failure,23816037934,1,0.0,266.0,266.0,head_sha,
