"run_id","task_id","task_number","condition","version","include_in_analysis","replacement_of","results_dir","artifacts_dir","final_diff_path","ai_snapshot_diff_path","codeql_sarif","semgrep_json","semgrep_sarif","spotbugs_xml","gitleaks_sarif","gitleaks_output","depcheck_json","tests_txt","tests_xml","pr_number","scaffold_ref","ai_snapshot_ref","final_ref","notes"
"task-1-high-ai","T1","1","high-ai","1","true","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-high-ai","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-high-ai\artifacts","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-high-ai\final.diff","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-high-ai\artifacts\java.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-high-ai\artifacts\semgrep-results.json","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-high-ai\artifacts\semgrep-results.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-high-ai\artifacts\spotbugs.xml","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-high-ai\artifacts\gitleaks-results.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-high-ai\artifacts\gitleaks-output.txt","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-high-ai\artifacts\com.thesis.securitystudy.SecurityStudyApplicationTests.txt","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-high-ai\artifacts\TEST-com.thesis.securitystudy.SecurityStudyApplicationTests.xml","24","cd82e6be9a93a4af49dd6819948d465e6982a687","9585a7081d7ec4f4658b322a82b2c67c48cb1643","9585a7081d7ec4f4658b322a82b2c67c48cb1643",""
"task-1-human-only","T1","1","human-only","1","false","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only\artifacts","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only\final.diff","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only\artifacts\java.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only\artifacts\semgrep-results.json","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only\artifacts\semgrep-results.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only\artifacts\spotbugs.xml","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only\artifacts\gitleaks-results.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only\artifacts\gitleaks-output.txt","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only\artifacts\com.thesis.securitystudy.SecurityStudyApplicationTests.txt","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only\artifacts\TEST-com.thesis.securitystudy.SecurityStudyApplicationTests.xml","19","cd82e6be9a93a4af49dd6819948d465e6982a687","","2fcebe4afec09a111964ddfe771211a5a53438a5",""
"task-1-human-only-v2","T1","1","human-only","2","true","task-1-human-only","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2\artifacts","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2\final.diff","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2\artifacts\java.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2\artifacts\semgrep-results.json","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2\artifacts\semgrep-results.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2\artifacts\spotbugs.xml","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2\artifacts\gitleaks-results.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2\artifacts\gitleaks-output.txt","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2\artifacts\com.thesis.securitystudy.SecurityStudyApplicationTests.txt","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2\artifacts\TEST-com.thesis.securitystudy.SecurityStudyApplicationTests.xml","37","cd82e6be9a93a4af49dd6819948d465e6982a687","","3e276887f02ffed3b27db4cd96ae5c2aa0e8120a",""
"task-1-low-ai","T1","1","low-ai","1","true","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai\artifacts","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai\final.diff","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai\artifacts\java.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai\artifacts\semgrep-results.json","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai\artifacts\semgrep-results.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai\artifacts\spotbugs.xml","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai\artifacts\gitleaks-results.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai\artifacts\gitleaks-output.txt","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai\artifacts\com.thesis.securitystudy.SecurityStudyApplicationTests.txt","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai\artifacts\TEST-com.thesis.securitystudy.SecurityStudyApplicationTests.xml","32","cd82e6be9a93a4af49dd6819948d465e6982a687","49a4246f46423080c2194a97666fd335dc6b04fc","d77291fc378c6d01b19546578b8af6f629323162",""
"task-2-high-ai","T2","2","high-ai","1","true","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-high-ai","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-high-ai\artifacts","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-high-ai\final.diff","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-high-ai\artifacts\java.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-high-ai\artifacts\semgrep-results.json","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-high-ai\artifacts\semgrep-results.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-high-ai\artifacts\spotbugs.xml","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-high-ai\artifacts\gitleaks-results.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-high-ai\artifacts\gitleaks-output.txt","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-high-ai\artifacts\com.thesis.securitystudy.SecurityStudyApplicationTests.txt","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-high-ai\artifacts\TEST-com.thesis.securitystudy.SecurityStudyApplicationTests.xml","21","cd82e6be9a93a4af49dd6819948d465e6982a687","028db390b37f4fd1d39d8451eccadac4023c24f7","028db390b37f4fd1d39d8451eccadac4023c24f7",""
"task-2-human-only","T2","2","human-only","1","true","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-human-only","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-human-only\artifacts","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-human-only\final.diff","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-human-only\artifacts\java.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-human-only\artifacts\semgrep-results.json","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-human-only\artifacts\semgrep-results.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-human-only\artifacts\spotbugs.xml","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-human-only\artifacts\gitleaks-results.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-human-only\artifacts\gitleaks-output.txt","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-human-only\artifacts\com.thesis.securitystudy.SecurityStudyApplicationTests.txt","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-human-only\artifacts\TEST-com.thesis.securitystudy.SecurityStudyApplicationTests.xml","29","cd82e6be9a93a4af49dd6819948d465e6982a687","","b3c916d13b501bf7c6a39ee016848f5b541ab2d4",""
"task-2-low-ai","T2","2","low-ai","1","true","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-low-ai","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-low-ai\artifacts","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-low-ai\final.diff","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-low-ai\artifacts\java.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-low-ai\artifacts\semgrep-results.json","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-low-ai\artifacts\semgrep-results.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-low-ai\artifacts\spotbugs.xml","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-low-ai\artifacts\gitleaks-results.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-low-ai\artifacts\gitleaks-output.txt","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-low-ai\artifacts\com.thesis.securitystudy.SecurityStudyApplicationTests.txt","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-low-ai\artifacts\TEST-com.thesis.securitystudy.SecurityStudyApplicationTests.xml","36","cd82e6be9a93a4af49dd6819948d465e6982a687","d7080c9769def4a065bbace7fbc5256a4be59a7d","854c25b1a45034d915d753bdb58ac7cdb98f274f",""
"task-3-high-ai","T3","3","high-ai","1","true","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\final.diff","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\java.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\semgrep-results.json","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\semgrep-results.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\spotbugs.xml","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\gitleaks-results.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\gitleaks-output.txt","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\com.thesis.securitystudy.SecurityStudyApplicationTests.txt","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\TEST-com.thesis.securitystudy.SecurityStudyApplicationTests.xml","31","cd82e6be9a93a4af49dd6819948d465e6982a687","449f78915547568b5e4a86c61993a0973fa96196","449f78915547568b5e4a86c61993a0973fa96196",""
"task-3-human-only","T3","3","human-only","1","true","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\artifacts","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\final.diff","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\artifacts\java.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\artifacts\semgrep-results.json","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\artifacts\semgrep-results.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\artifacts\spotbugs.xml","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\artifacts\gitleaks-results.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\artifacts\gitleaks-output.txt","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\artifacts\com.thesis.securitystudy.SecurityStudyApplicationTests.txt","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\artifacts\TEST-com.thesis.securitystudy.SecurityStudyApplicationTests.xml","22","cd82e6be9a93a4af49dd6819948d465e6982a687","","a9ef7ba053bbe445b1144ad0a59170449f76f844",""
"task-3-low-ai","T3","3","low-ai","1","true","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai\artifacts","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai\final.diff","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai\artifacts\java.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai\artifacts\semgrep-results.json","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai\artifacts\semgrep-results.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai\artifacts\spotbugs.xml","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai\artifacts\gitleaks-results.sarif","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai\artifacts\gitleaks-output.txt","","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai\artifacts\com.thesis.securitystudy.SecurityStudyApplicationTests.txt","D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai\artifacts\TEST-com.thesis.securitystudy.SecurityStudyApplicationTests.xml","26","cd82e6be9a93a4af49dd6819948d465e6982a687","3a62cd0d1780856e68ac8c9484c5bb5fe84427ab","d91c369a3080c094146d587f9032c1813a4b00a2",""
