vulnerability_id,run_id,condition,include_in_analysis,confirmed_status,manual_only,detected_by_gate,escaped_gate,severity,manual_severity,cwe_id,manual_cwe_id
V-1001,task-1-high-ai,high-ai,True,TP,True,False,True,high,high,CWE-639,CWE-639
V-1002,task-1-high-ai,high-ai,True,TP,True,False,True,medium,medium,CWE-200,CWE-200
V-1004,task-2-high-ai,high-ai,True,TP,True,False,True,high,high,CWE-269,CWE-269
V-1005,task-2-human-only,human-only,True,TP,True,False,True,high,high,CWE-269,CWE-269
V-1006,task-2-low-ai,low-ai,True,TP,True,False,True,high,high,CWE-269,CWE-269
V-1007,task-3-high-ai,high-ai,True,TP,False,True,False,high,high,CWE-321,CWE-321
V-1008,task-3-human-only,human-only,True,TP,True,False,True,high,high,CWE-321,CWE-321
V-1009,task-3-low-ai,low-ai,True,TP,True,False,True,high,high,CWE-321,CWE-321
V-1010,task-5-high-ai,high-ai,True,TP,True,False,True,high,high,CWE-434,CWE-434
V-1012,task-5-human-only,human-only,True,TP,True,False,True,high,high,CWE-434,CWE-434
V-1013,task-5-low-ai,low-ai,True,TP,True,False,True,high,high,CWE-434,CWE-434
V-1014,task-5-low-ai,low-ai,True,TP,True,False,True,medium,medium,CWE-73,CWE-73
V-1016,task-6-high-ai,high-ai,True,TP,True,False,True,medium,medium,CWE-346,CWE-346
